student_code	school_code	benchmark_test_code	test_score
116863895	NULL	G5DBA_ELA_2013-04-01	61.76
102831120	NULL	G4Math_2013-04-01	52.27
970061648	NULL	G4Math_2013-04-01	50.00
102829504	NULL	G10DBA_ELA_2013-04-01	26.47
970028307	NULL	G4Math_2013-04-01	63.64
100077197	NULL	G10DBA_ELA_2013-04-01	41.18
103443685	NULL	G7DBA_ELA_2013-04-01	47.22
786378240	NULL	G4Math_2013-04-01	45.45
102727740	NULL	Alg1_2013-04-01	32.35
102885118	NULL	G10DBA_ELA_2013-04-01	64.71
103486205	NULL	Alg1_2013-04-01	64.71
970059082	NULL	G5DBA_ELA_2013-04-01	38.24
102917358	NULL	G7Math_2013-04-01	44.44
104043054	NULL	G7Math_2013-04-01	86.11
103381356	NULL	G7Math_2013-04-01	36.11
103398038	NULL	G6DBA_ELA_2013-04-01	48.65
104093786	NULL	G8DBA_ELA_2013-04-01	24.24
104095674	NULL	G7Math_2013-04-01	66.67
104447172	NULL	G5Math_2013-04-01	52.63
819581299	NULL	G5DBA_ELA_2013-04-01	64.71
104091509	NULL	G7Math_2013-04-01	66.67
103451639	NULL	G8Math_2013-04-01	19.35
219981149	NULL	G6Math_2013-04-01	15.15
103414801	NULL	G8Math_2013-04-01	25.81
970032315	NULL	G7DBA_ELA_2013-04-01	19.44
104654108	NULL	G6DBA_ELA_2013-04-01	67.57
970045347	NULL	Alg1_2013-04-01	100.00
102893047	NULL	Alg1_2013-04-01	58.82
103413126	NULL	G8DBA_ELA_2013-04-01	63.64
970048566	NULL	Alg1_2013-04-01	64.71
103539938	NULL	G10DBA_ELA_2013-04-01	76.47
970033757	NULL	Alg1_2013-04-01	47.06
103523932	NULL	G9DBA_ELA_2013-04-01	52.94
104098736	NULL	G7Math_2013-04-01	50.00
104059126	NULL	G7DBA_ELA_2013-04-01	22.22
970060252	NULL	G4PDBA_ELA_2013-04-01	49.00
103432118	NULL	G6Math_2013-04-01	81.82
101530723	NULL	G8Math_2013-04-01	38.71
102932951	NULL	G10DBA_ELA_2013-04-01	70.59
104032859	NULL	G7DBA_ELA_2013-04-01	47.22
100055235	NULL	Geom_2013-04-01	91.43
103399002	NULL	Alg1_2013-04-01	50.00
100503697	NULL	G7DBA_ELA_2013-04-01	66.67
377718424	NULL	G5DBA_ELA_2013-04-01	82.35
492613344	NULL	G5DBA_ELA_2013-04-01	64.71
970023636	NULL	G5DBA_ELA_2013-04-01	76.47
102731064	NULL	Geom_2013-04-01	37.14
970020784	NULL	G5DBA_ELA_2013-04-01	73.53
102953924	NULL	Geom_2013-04-01	34.29
970039857	NULL	G5DBA_ELA_2013-04-01	82.35
191554658	NULL	G5DBA_ELA_2013-04-01	47.06
868989476	NULL	G6Math_2013-04-01	48.48
970096690	NULL	G5Math_2013-04-01	89.47
970018104	NULL	G5DBA_ELA_2013-04-01	23.53
104156112	NULL	G7Math_2013-04-01	47.22
970032178	NULL	G8MathP_2013-04-01	35.12
102974003	NULL	G9DBA_ELA_2013-04-01	67.65
970027456	NULL	G4Math_2013-04-01	59.09
970063213	NULL	Alg1_2013-04-01	26.47
793227893	NULL	G5DBA_ELA_2013-04-01	70.59
322851494	NULL	G4Math_2013-04-01	0.00
970028541	NULL	G4Math_2013-04-01	43.18
472939388	NULL	G5Math_2013-04-01	68.42
354172249	NULL	G9DBA_ELA_2013-04-01	26.47
102920097	NULL	G10DBA_ELA_2013-04-01	61.76
970069421	NULL	G7DBA_ELA_2013-04-01	55.56
100504257	NULL	G7DBA_ELA_2013-04-01	58.33
102884723	NULL	G10DBA_ELA_2013-04-01	61.76
511439713	NULL	G6DBA_ELA_2013-04-01	51.35
100113166	NULL	G10DBA_ELA_2013-04-01	38.24
104156021	NULL	G7Math_2013-04-01	41.67
102767266	NULL	G10DBA_ELA_2013-04-01	73.53
100074426	NULL	G10DBA_ELA_2013-04-01	67.65
103412516	NULL	G8DBA_ELA_2013-04-01	75.76
970096244	NULL	Geom_2013-04-01	22.86
970091766	NULL	G4DBA_ELA_2013-04-01	61.29
193531	NULL	G4DBA_ELA_2013-04-01	22.58
544414576	NULL	G6DBA_ELA_2013-04-01	40.54
100018704	NULL	Geom_2013-04-01	34.29
793325457	NULL	G5DBA_ELA_2013-04-01	58.82
104639802	NULL	G4DBA_ELA_2013-04-01	32.26
970027065	NULL	G4MathP_2013-04-01	40.56
443318936	NULL	G4Math_2013-04-01	27.27
970076349	NULL	G5Math_2013-04-01	89.47
970061341	NULL	Alg1_2013-04-01	29.41
970075539	NULL	G7Math_2013-04-01	33.33
104610399	NULL	G6Math_2013-04-01	81.82
187301	NULL	G6Math_2013-04-01	27.27
100086313	NULL	Alg1_2013-04-01	35.29
103437349	NULL	G9DBA_ELA_2013-04-01	47.06
970025970	NULL	G4Math_2013-04-01	79.55
104066519	NULL	G7DBA_ELA_2013-04-01	41.67
103408142	NULL	G8Math_2013-04-01	58.06
104143037	NULL	G7DBA_ELA_2013-04-01	61.11
970023401	NULL	G4Math_2013-04-01	68.18
104581293	NULL	G6Math_2013-04-01	57.58
104614557	NULL	G6Math_2013-04-01	51.52
970054873	NULL	G4DBA_ELA_2013-04-01	67.74
424181931	NULL	G4DBA_ELA_2013-04-01	51.61
464791953	NULL	Geom_2013-04-01	28.57
970022422	NULL	G4Math_2013-04-01	95.45
869456459	NULL	G5DBA_ELA_2013-04-01	64.71
423156843	NULL	G6Math_2013-04-01	42.42
104638036	NULL	G6Math_2013-04-01	33.33
161543293	NULL	G6DBA_ELA_2013-04-01	89.19
102994613	NULL	G10DBA_ELA_2013-04-01	67.65
739664886	NULL	G6DBA_ELA_2013-04-01	64.86
100504810	NULL	G8DBA_ELA_2013-04-01	72.73
104096029	NULL	G9DBA_ELA_2013-04-01	73.53
970092528	NULL	G5DBA_ELA_2013-04-01	79.41
